"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00208080","1985-11-01","42.0027","-83.9336","237.7","TECUMSEH, MI US","   20",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-02","42.0027","-83.9336","237.7","TECUMSEH, MI US","   56",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-03","42.0027","-83.9336","237.7","TECUMSEH, MI US","   43",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-04","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","T,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-05","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-06","42.0027","-83.9336","237.7","TECUMSEH, MI US","   18",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-07","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-08","42.0027","-83.9336","237.7","TECUMSEH, MI US","    5",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-09","42.0027","-83.9336","237.7","TECUMSEH, MI US","  381",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-10","42.0027","-83.9336","237.7","TECUMSEH, MI US","   89",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-11","42.0027","-83.9336","237.7","TECUMSEH, MI US","   30",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-12","42.0027","-83.9336","237.7","TECUMSEH, MI US","   13",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-13","42.0027","-83.9336","237.7","TECUMSEH, MI US","   30",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-14","42.0027","-83.9336","237.7","TECUMSEH, MI US","   36",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-15","42.0027","-83.9336","237.7","TECUMSEH, MI US","  175",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-16","42.0027","-83.9336","237.7","TECUMSEH, MI US","   20",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-17","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-18","42.0027","-83.9336","237.7","TECUMSEH, MI US","  117",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-19","42.0027","-83.9336","237.7","TECUMSEH, MI US","  132",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-20","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-21","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-22","42.0027","-83.9336","237.7","TECUMSEH, MI US","   10",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-23","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-24","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-25","42.0027","-83.9336","237.7","TECUMSEH, MI US","  114",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-26","42.0027","-83.9336","237.7","TECUMSEH, MI US","   89",",,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-27","42.0027","-83.9336","237.7","TECUMSEH, MI US",,,"   76",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-28","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-29","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1985-11-30","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","T,,6,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208080","1994-04-01","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  178",",,6","    0",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-02","42.0027","-83.9336","237.7","TECUMSEH, MI US","   71",",,6,","   13",",,6,",,,"  222",",,6","  -11",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-03","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"   72",",,6","  -44",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-04","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  133",",,6","  -17",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-05","42.0027","-83.9336","237.7","TECUMSEH, MI US","  109",",,6,","   25",",,6,",,,"  139",",,6","  -28",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-06","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"   22",",,6","  -61",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-07","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"   78",",,6","  -56",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-08","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  106",",,6","  -44",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-09","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  183",",,6","   72",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-10","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  161",",,6","   17",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-11","42.0027","-83.9336","237.7","TECUMSEH, MI US","  132",",,6,","    0",",,6,",,,"   83",",,6","   22",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-12","42.0027","-83.9336","237.7","TECUMSEH, MI US","  163",",,6,","    0",",,6,",,,"  106",",,6","   50",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-13","42.0027","-83.9336","237.7","TECUMSEH, MI US","   25",",,6,","    0",",,6,",,,"  100",",,6","   56",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-14","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  200",",,6","   61",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-15","42.0027","-83.9336","237.7","TECUMSEH, MI US","   58",",,6,","    0",",,6,",,,"  233",",,6","   61",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-16","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  139",",,6","   44",",,6",,,,,,,,,,,,,,,,
"USC00208080","1994-04-17","42.0027","-83.9336","237.7","TECUMSEH, MI US","    0","P,,6,","    0",",,6,",,,"  150",",,6","    0",",,6",,,,,,,,,,,,,,,,
