"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00094889","1998-11-01","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  133",",,W","   67",",,W","   31",",,W"," 2222",",,W"," 2117",",,W","  100",",,W",,,"   20",",,W","   10",",,W","   58",",,W","   72",",,W",,,,,,,,,,
"USW00094889","1998-11-02","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  117",",,W","   11",",,W","   41",",,W"," 1820",",,W"," 1819",",,W","   67",",,W",,,"   20",",,W","   20",",,W","   76",",,W","   94",",,W",,,,,,,,,,
"USW00094889","1998-11-03","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   72",",,W","  -11",",,W","   40",",,W"," 1432",",,W"," 1347",",,W","   33",",,W",,,"   30",",,W","   20",",,W","   76",",,W","   94",",,W",,,,,,,,,,
"USW00094889","1998-11-04","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   50",",,W","  -56",",,W","   37",",,W"," 1328",",,W"," 1022",",,W","    0",",,W",,,"   10",",,W","  360",",,W","   67",",,W","   80",",,W",,,,,,,,,,
"USW00094889","1998-11-05","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   33",",,W","  -56",",,W","   35",",,W"," 1211",",,W"," 1146",",,W","  -11",",,W",,,"  360",",,W","  360",",,W","   63",",,W","   80",",,W",,,,,,,,,,
"USW00094889","1998-11-06","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   61",",,W","    0",",,W","   41",",,W"," 2142",",,W"," 2142",",,W","   33",",,W",,,"  270",",,W","  280",",,W","   72",",,W","   89",",,W",,,,,,,,,,
"USW00094889","1998-11-07","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   94",",,W","   11",",,W","   29",",,W"," 1010",",,W"," 0527",",,W","   56",",,W",,,"  280",",,W","  270",",,W","   63",",,W","   72",",,W",,,,,,,,,,
"USW00094889","1998-11-08","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"   61",",,W","    0",",,W","   12",",,W"," 1132",",,W"," 1325",",,W","   33",",,W",,,"  230",",,W","  230",",,W","   58",",,W","   63",",,W",,,,,,,,,,
"USW00094889","1998-11-09","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"   89",",,W","  -50",",,W","   20",",,W"," 2335",",,W"," 2340",",,W","   22",",,W",,,"  100",",,W","  110",",,W","   67",",,W","   76",",,W",,,,,,,,,,
"USW00094889","1998-11-10","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"  167",",,W","   61",",,W","   85",",,W"," 2146",",,W"," 1740",",,W","  117",",,W",,,"  230",",,W","  240",",,W","  183",",,W","  232",",,W",,,,,,,,,,
"USW00094889","1998-11-11","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   83",",,W","   11",",,W","   93",",,W"," 0008",",,W"," 0007",",,W","   50",",,W",,,"  240",",,W","  240",",,W","  197",",,W","  246",",,W",,,,,,,,,,
"USW00094889","1998-11-12","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"  111",",,W","  -17",",,W","   47",",,W"," 1357",",,W"," 1357",",,W","   50",",,W",,,"  250",",,W","  250",",,W","  103",",,W","  130",",,W",,,,,,,,,,
"USW00094889","1998-11-13","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   72",",,W","  -22",",,W","   14",",,W"," 1445",",,W"," 0113",",,W","   28",",,W",,,"  180",",,W","  350",",,W","   45",",,W","   63",",,W",,,,,,,,,,
"USW00094889","1998-11-14","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  117",",,W","  -44",",,W","   48",",,W"," 2156",",,W"," 2155",",,W","   39",",,W",,,"  290",",,W","  290",",,W","  125",",,W","  148",",,W",,,,,,,,,,
"USW00094889","1998-11-15","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"   94",",,W","  -22",",,W","   42",",,W"," 0004",",,W"," 0020",",,W","   39",",,W",,,"  290",",,W","  300",",,W","  103",",,W","  134",",,W",,,,,,,,,,
"USW00094889","1998-11-16","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"  100",",,W","    6",",,W","   26",",,W"," 1124",",,W"," 1417",",,W","   56",",,W",,,"  170",",,W","  190",",,W","   67",",,W","   80",",,W",,,,,,,,,,
"USW00094889","1998-11-17","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"   78",",,W","  -33",",,W","   31",",,W"," 0454",",,W"," 0625",",,W","   22",",,W",,,"  310",",,W","  310",",,W","   67",",,W","   80",",,W",,,,,,,,,,
"USW00094889","1998-11-18","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W","    0",",,W","  111",",,W","  -50",",,W","   29",",,W"," 1347",",,W"," 1604",",,W","   33",",,W",,,"  180",",,W","  120",",,W","   72",",,W","   76",",,W",,,,,,,,,,
"USW00094889","1998-11-19","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  144",",,W","   11",",,W","   55",",,W"," 1233",",,W"," 1210",",,W","   78",",,W",,,"  240",",,W","  230",",,W","  130",",,W","  165",",,W",,,,,,,,,,
"USW00094889","1998-11-20","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"   33",",,W","    0",",,W","   50",",,W"," 1822",",,W"," 1821",",,W","   17",",,W",,,"  250",",,W","  250",",,W","   89",",,W","  103",",,W",,,,,,,,,,
"USW00094889","1998-11-21","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"   67",",,W","  -39",",,W","   41",",,W"," 1256",",,W"," 1335",",,W","   17",",,W",,,"  260",",,W","  260",",,W","   72",",,W","   80",",,W",,,,,,,,,,
"USW00094889","1998-11-22","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  122",",,W","  -39",",,W","   51",",,W"," 1419",",,W"," 1419",",,W","   44",",,W",,,"  210",",,W","  210",",,W","   98",",,W","  125",",,W",,,,,,,,,,
"USW00094889","1998-11-23","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  156",",,W","   17",",,W","   64",",,W"," 1334",",,W"," 1331",",,W","   89",",,W",,,"  250",",,W","  250",",,W","  148",",,W","  192",",,W",,,,,,,,,,
"USW00094889","1998-11-24","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  122",",,W","  -22",",,W","   35",",,W"," 1259",",,W"," 1258",",,W","   50",",,W",,,"  290",",,W","  280",",,W","   94",",,W","  103",",,W",,,,,,,,,,
"USW00094889","1998-11-25","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"   78",",,W","  -28",",,W","   26",",,W"," 1110",",,W"," 2247",",,W","   28",",,W",,,"  120",",,W","  310",",,W","   63",",,W","   72",",,W",,,,,,,,,,
"USW00094889","1998-11-26","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  122",",,W","  -33",",,W","   57",",,W"," 1514",",,W"," 1514",",,W","   44",",,W",,,"  280",",,W","  280",",,W","  112",",,W","  139",",,W",,,,,,,,,,
"USW00094889","1998-11-27","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  106",",,W","  -56",",,W","   22",",,W"," 1434",",,W"," 1527",",,W","   28",",,W",,,"  200",",,W","  190",",,W","   49",",,W","   58",",,W",,,,,,,,,,
"USW00094889","1998-11-28","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0",",,W",,,"  183",",,W","  -28",",,W","   24",",,W"," 1642",",,W"," 1440",",,W","   78",",,W",,,"  200",",,W","  180",",,W","   45",",,W","   58",",,W",,,,,,,,,,
"USW00094889","1998-11-29","42.22393","-83.73983","250.6","ANN ARBOR MUNICIPAL AIRPORT, MI US","    0","T,,W",,,"  167",",,W","  106",",,W","   42",",,W"," 2228",",,W"," 2147",",,W","  139",",,W",,,"  190",",,W","  200",",,W","   72",",,W","   98",",,W",,,,,,,,,,
