"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00202308","1994-04-01","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-02","41.9552","-83.6488","201.2","DUNDEE, MI US","  102",",,6,","   38",",,6,","   51",",,6,",,,,,,,,,,,,,,
"USC00202308","1994-04-03","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-04","41.9552","-83.6488","201.2","DUNDEE, MI US","    5",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-05","41.9552","-83.6488","201.2","DUNDEE, MI US","  152",",,6,","   76",",,6,","   51",",,6,",,,,,,,,,,,,,,
"USC00202308","1994-04-06","41.9552","-83.6488","201.2","DUNDEE, MI US","   48",",,6,","   51",",,6,","   76",",,6,",,,,,,,,,,,,,,
"USC00202308","1994-04-07","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-08","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-09","41.9552","-83.6488","201.2","DUNDEE, MI US","    0","T,,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-10","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-11","41.9552","-83.6488","201.2","DUNDEE, MI US","  127",",,6,","    0","T,,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-12","41.9552","-83.6488","201.2","DUNDEE, MI US","  178",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-13","41.9552","-83.6488","201.2","DUNDEE, MI US","   10",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-14","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-15","41.9552","-83.6488","201.2","DUNDEE, MI US","   61",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-16","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-17","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-18","41.9552","-83.6488","201.2","DUNDEE, MI US","    3",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-19","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-20","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-21","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-22","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-23","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-24","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
"USC00202308","1994-04-25","41.9552","-83.6488","201.2","DUNDEE, MI US","    0",",,6,","    0",",,6,",,,,,,,,,,,,,,,,
